Name,Type,Hours,Accessible,Lat,Long
Edinburgh Bicycle Co-operative,bicycle,Mo-Fr 09:00-19:00; Sa-Su 10:00-18:00,yes,55.9377371,-3.2029994
Sainsbury's Local,supermarket,Mo-Sa 07:00-22:00; Su 08:00-21:00,yes,55.9456712,-3.2061679
Tesco,supermarket,Mo-Su 06:00-23:00,,55.9442938,-3.2047762
Scotmid,supermarket,Mo-Su 07:00-22:00,,55.9374112,-3.2346906
Charles Wilson,butcher,,,55.9424743,-3.2815848
Scotmid Co-operative,supermarket,Mo-Su 07:00-22:00,,55.9426140,-3.2821951
Boots Opticians,optician,,,55.9423980,-3.2799003
Edinburgh Cheesecake Company,cake,,,55.9427967,-3.2847542
Moat Newsagent,convenience,,,55.9314329,-3.2378080
Food & News,convenience,,yes,55.9400118,-3.2190937
The Bike Station,bicycle,,yes,55.9346776,-3.1799482
BP,yes,,,55.9372727,-3.3656602
Day-Today Express,convenience,,,55.9381013,-3.2917803
Co-Op,supermarket,,,55.8956823,-3.3127216
Sainsbury's Local,convenience,Mo-Su 07:00-23:00,,55.9361501,-3.1945246
C&G Cycles,bicycle,,,55.9396082,-3.2047715
Scotmid Co-operative,supermarket,Mo-Su 07:00-22:00,,55.9415461,-3.2037701
Scotmid,supermarket,Mo-Su 06:00-23:00,,55.9588838,-2.9866165
Lidl,supermarket,,,55.9628193,-2.9773049
,convenience,,,55.9134373,-3.1394198
usave,convenience,,,55.9184757,-3.1386029
,convenience,,,55.9352799,-3.1161510
Margiotta,convenience,Mo-Su 07:00-23:00,,55.9384782,-3.1976530
McColl's,convenience,,,55.9126342,-3.1069875
BP,convenience,,,55.9377502,-3.4029754
Nisa Local,convenience,,,55.8721057,-3.0415305
,convenience,,,55.9369640,-3.0735036
Scotmid,supermarket,"Mo-Fr 07:00-22:00; Sa,Su 08:00-22:00",,55.9452290,-3.2056125
Sainsbury's Local,convenience,Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su 08:00-21:00,,55.9438677,-3.1918679
Tesco,supermarket,Mo-Su 06:00-01:00,yes,55.9447948,-3.1836736
Scotmid,convenience,,,55.8826817,-3.3387192
Loanhead Mini-Market,convenience,,,55.8779685,-3.1549015
Cooperative Food,supermarket,Mo-Su 07:00-23:00,,55.9609090,-2.9809542
Freewheelin',bicycle,,,55.9337946,-3.2339258
,car,,,55.8912050,-3.0757389
Tills Bookshop,books,,,55.9412176,-3.1828378
Bilston Post Office,convenience,,,55.8691265,-3.1820880
Sainsbury's Local,convenience,Mo-Sa 07:00-22:00; Su 09:00-20:00,yes,55.9533557,-3.1941234
Eastside Bikes,bicycle,,,55.9571895,-3.1689348
,convenience,,,55.9695431,-3.2699615
Tesco Metro,supermarket,Mo-Sa 08:00-22:00; Su 09:00-22:00,yes,55.9341803,-3.2107330
,convenience,,,55.9375390,-3.2261292
Margiotta,convenience,,limited,55.9333144,-3.2294499
Londis,convenience,,,55.9323251,-3.2283509
,convenience,,,55.9332858,-3.2298991
V&S Sharma,convenience,,,55.9374035,-3.2224855
,convenience,,,55.9398452,-3.2120902
Fountain News,convenience,,limited,55.9399166,-3.2194246
,convenience,,,55.9368178,-3.2366301
Co-op,convenience,,,55.9143573,-3.2910477
Activity Awards,sports,,,55.9374533,-3.2263052
Happy Valley Convenience Store,convenience,,,55.9240702,-3.2364278
,convenience,,,55.9645895,-3.2407211
Falko Konditormeister,bakery,,,55.9353820,-3.2098014
Holder Planning,vacant,,,55.9508773,-3.2057640
Sainsbury's Local,convenience,06:30-23:00,,55.9379712,-3.1813444
Scotmid,convenience,24/7,yes,55.9449289,-3.1842347
Vogue Video,video,,,55.9417149,-3.1819311
W Armstrong & Son,clothes,,,55.9417925,-3.1815443
Great Grog,alcohol,,,55.9406447,-3.1769726
Underground Solu'shn,music,,,55.9506780,-3.1907990
,convenience,,,55.9623992,-3.2363631
Shop,convenience,,,55.9629817,-3.2348066
Cafe S. Luca,ice_cream,,,55.9337219,-3.2103787
Oxfam Book Shop,books,,,55.9283372,-3.2096631
Oxfam,clothes,,,55.9284355,-3.2096768
St. Columba's Hospice Book Shop,charity,,,55.9285342,-3.2092752
Bodrum Fine Foods,supermarket,,,55.9386101,-3.1916162
,greengrocer,,,55.9383505,-3.1915904
Scotmid Co-operative,convenience,,yes,55.9787590,-3.1834722
,convenience,,,55.9784173,-3.1932815
,convenience,,,55.9746947,-3.1720608
Traditional Fire Surrounds,fire_surrounds,,,55.9360063,-3.2214193
Waterstones,books,,,55.9507994,-3.2047897
Nut-Hoose,hairdresser,,,55.9756628,-3.1789124
Barnados,charity,,,55.9633319,-3.1779087
St Columba's Hospice,charity,,,55.9642554,-3.1775738
AdvoCard,charity,,,55.9646306,-3.1772557
Leith Cycles,bicycle,,unknown,55.9656550,-3.1763495
Crawford's Furniture Salesroom,furniture,,,55.9662924,-3.1757475
Barnardo's Furniture,charity,,,55.9680765,-3.1742698
Capability Scotland,charity,,,55.9710064,-3.1723834
Fruit Heaven,convenience,,,55.9713482,-3.1729206
Bethany Shop,charity,,,55.9703552,-3.1705675
Prestige,hairdresser,,,55.9416037,-3.2231491
Johnstons Cashmere,clothes,,,55.9504516,-3.1864147
Thistle Do Nicely,yes,,,55.9504737,-3.1862899
Cancer Research,charity,,,55.9523564,-3.1127126
British Heart Foundation,charity,,,55.9523798,-3.1128729
Barnados,charity,,,55.9524091,-3.1129949
,convenience,,,55.9744744,-3.2097019
,convenience,,,55.9785312,-3.2317995
Tesco Express,supermarket,Mo-Su 06:00-23:00,,55.9360196,-3.1802824
T.C. Juner & Son,car_repair,,,55.9705550,-3.2069089
metro Auto Centre,car_repair,,,55.9805549,-3.2224831
News Corner,convenience,,,55.9566802,-3.2027690
D.J. Alexander,estate_agent,,,55.9579554,-3.1999583
Quigley Hair,hairdresser,,,55.9714701,-3.2076316
Kitschy Coo,fabric,,,55.9715095,-3.2076510
Nail & Brow Bar,beauty,,,55.9716342,-3.2076984
Marie Curie Cancer Care,charity,,,55.9710439,-3.2085977
Present,gift,,,55.9502085,-3.1836830
Royal Mile Sweets,confectionery,,,55.9506823,-3.1845084
Tollcross Newsagent,convenience,,,55.9459225,-3.2023243
H&T Pawnbrokers,pawnbroker,,,55.9447579,-3.2003926
Leatherwork,leather,,,55.9452868,-3.2007728
Peter Trainer - Corporate Services Ltd,other,,,55.9453341,-3.2008641
The 3 Stooges,hairdresser,,,55.9457015,-3.2022374
Smooch,clothes,,,55.9459245,-3.2027280
Cabaret,antiques,,,55.9461426,-3.2013402
West Port News,convenience,,,55.9461271,-3.2013829
Lily West,florist,,,55.9460949,-3.2014723
Edinburgh Books,books,,,55.9460448,-3.2015976
Herman Brown,clothes,,,55.9459999,-3.2017116
Boardwise,sports,,,55.9464168,-3.2018687
McAlister Matheson Music Ltd,music,,,55.9465932,-3.2029853
GT II Newsagent,convenience,,,55.9459875,-3.2031608
Tesco Metro,supermarket,Mo-Su 06:00-24:00,yes,55.9475772,-3.1860219
Costcutter,convenience,,,55.9456708,-3.2051118
Sainsbury's Local,supermarket,Mo-Su 07:00-23:00,,55.9459203,-3.2010630
Eddie's Seafood Market,seafood,,,55.9382405,-3.1921251
Thomas Cook,travel_agency,,,55.9531470,-3.1974408
The Scotsman,newsagent,,,55.9604041,-3.2011488
Flight Centre,travel_agency,,,55.9454367,-3.1914509
,vacant,,,55.9455366,-3.1913887
Greggs,bakery,,,55.9456427,-3.1913637
Shelter,charity,,,55.9457260,-3.1913448
,vacant,,,55.9457957,-3.1913361
Sta Travel,travel_agency,,,55.9459544,-3.1913088
Ikina,hairdresser,,limited,55.9455210,-3.2347603
Simon Scott,antiques,,,55.9454997,-3.2346753
,vacant,,,55.9454811,-3.2345758
Smoothies Beauty Clinic,beauty,,,55.9456961,-3.2344793
3D Cakes,cakes,,,55.9457408,-3.2346984
Traditional Turkish Barbers,hairdresser,,,55.9457508,-3.2347477
Art & Facts,art,,,55.9454353,-3.2342478
Thallon Soulis,hairdresser,,yes,55.9454440,-3.2343044
Clancys,estate_agent,,,55.9454547,-3.2343983
Scotbet,bookmaker,,,55.9329675,-3.2355228
SimplyFixIt,computer,,,55.9465069,-3.1911686
,vacant,,,55.9480341,-3.1920996
Coda Music,music,,,55.9499235,-3.1931042
I Love Scotland,clothes,,,55.9497371,-3.1930136
Best in Scotland,gift,,,55.9499183,-3.1933188
Bonkers,gift,,,55.9532039,-3.1974699
Ernest Jones,jewelry,,,55.9521751,-3.1967993
Twenty Twenty,optician,,,55.9547423,-3.1982576
Margiotta,convenience,,,55.9207481,-3.2122374
Three Bridges Sandwich Bar,kiosk,,,55.9875791,-3.4039889
Henri,deli,,,55.9591737,-3.2122413
Peter Green,alcohol,,,55.9384155,-3.1946168
Gregg's,bakery,,,55.9257928,-3.2095594
Scotmid,convenience,Mo-Sa 06:00-00:00; Su 06:00-22:00,,55.9380026,-3.1935037
Word Power,books,,no,55.9446069,-3.1855056
Sainsbury's,supermarket,Mo-Fr 08:00-22:00;Sa 07:00-22:00; Su 08:00-22:00,,55.9587892,-3.1643659
,convenience,,,55.9580738,-3.1838975
Valvona & Crolla,convenience,,,55.9588413,-3.1831632
Welch Fishmongers,seafood,,,55.9815990,-3.1948284
Fish Market,seafood,,,55.9819316,-3.1948252
Newtown Executive Drycleaners & Launderers,dry_cleaning,,,55.9593188,-3.2142138
James Wilson,furniture,,,55.9592601,-3.2134159
Calzeat Home,furniture,,,55.9592803,-3.2136898
Shelter,charity,,,55.9593061,-3.2140408
Artisan Roast,florist,,,55.9592903,-3.2138265
moda,hairdresser,,,55.9592843,-3.2137452
Jimmy Martin Travel Ltd,travel_agency,,,55.9592702,-3.2135527
mary's living & giving shop,charity,,,55.9590888,-3.2113350
Caoba,general,,,55.9591938,-3.2125151
Corson Hardware,hardware,,,55.9592057,-3.2126768
Wo:mankind Beauty,beauty,,,55.9591985,-3.2125784
Lucie Fenton,art,,,55.9590274,-3.2105717
Chetty & Das,optician,,,55.9588187,-3.2106087
Sergio Tosoratti Coutour & Tailors,tailor,,,55.9590438,-3.2107764
Capelli,hairdresser,,,55.9588072,-3.2104684
Oagoll Hairdresser,hairdresser,,,55.9590518,-3.2108749
Costcutter,convenience,,,55.9592200,-3.2128709
British Heart Foundation,charity,,,55.9589239,-3.2119019
Oxfam,charity,,,55.9592106,-3.2127430
Spar,convenience,,,55.8746424,-3.1063209
Maqbool's Supermarket,supermarket,,,55.9451748,-3.1864323
,convenience,,,55.9458546,-3.1865145
Jordan Valley,convenience,,,55.9470067,-3.1857249
James Borthwick,convenience,,,55.9581977,-3.2266410
Muirhouse Mall,mall,,,55.9715086,-3.2527583
Douglas's Bakery,bakery,,,55.9687872,-3.1730375
Scotmid,convenience,,,55.9612642,-3.1518000
Scotmid,supermarket,Mo-Sa 07:00-22:00; Su 09:00-22:00,yes,55.9744618,-3.1843973
Masons Bakery,bakery,,,55.9801706,-3.1982531
Pilrig Newsagent,newsagent,,,55.9692653,-3.1848652
Premier Laundrette and Linen Services,laundry,,,55.9657163,-3.2434145
Luigi's,hairdresser,,,55.9752286,-3.2157568
J. R. Gowans,seafood,,,55.9658713,-3.2434963
Lifestyle Express,convenience,,,55.9701043,-3.2077211
Ferry Road Newsagents,newsagent,,,55.9749766,-3.1808433
JR's Hair Studio,hairdresser,,,55.9748281,-3.2157044
Brendan Haddock,jewelry,,,55.9462981,-3.2361490
ID Hair,hairdresser,,,55.9462863,-3.2362272
PC Doctor,computer,,,55.9456854,-3.2344362
The Murrayfield Laundrette,laundry,,,55.9462724,-3.2363082
Bloemen Ecke,florist,,,55.9463082,-3.2360753
Scotmid,supermarket,Mo-Su 07:00-22:00,yes,55.9246213,-3.2764605
,bakery,,,55.9605889,-3.1427782
C. B. Store,convenience,,,55.9599724,-3.1386919
A.Q.Q.A. Stores,convenience,,,55.9605003,-3.1426292
Edinburgh Cycle Company,bicycle,,,55.9764735,-3.2155726
Keystore Express,convenience,,,55.9338344,-3.1612131
,ice_cream,,,55.9451505,-3.2675594
Scotmid Co-operative,supermarket,Mo-Su 07:00-22:00,,55.9752473,-3.2384345
Roll Up,bakery,,,55.9788896,-3.2317323
West Granton Newsagents,newsagent,,,55.9789247,-3.2316753
Scotmid,convenience,Mo-Su 06:00-22:00,no,55.9455703,-3.2351050
Timber Center,doityourself,,,55.9343703,-3.1784354
Kwik Fit,car_repair,Mo-Fr 08:30-18:00; Sa 08:30-17:00; Su 10:00-16:00,,55.9616880,-3.1819501
Wangping Travel,travel_agency,,,55.9395554,-3.2261304
,vacant,,,55.9434340,-3.2352266
Scotmid,supermarket,Mo-Su 07:00-22:00,yes,55.9088450,-3.2286848
Broadway Convenience Store,convenience,,,55.9056929,-3.2222000
Scotmid,convenience,Mo-Su 07:00-22:00,,55.9362298,-3.2787530
McArthur's,butcher,,,55.9361134,-3.2793167
Scotmid,supermarket,Mo-Su 07:00-22:00,,55.9589541,-3.2073114
Poundsavers,variety_store,,,55.9463807,-3.1856860
,convenience,,,55.9458336,-3.1846602
Newstime & Party Planet,convenience,,,55.9456804,-3.1849745
Scayles Music,music,,,55.9435386,-3.1836533
,butcher,,,55.9462332,-3.1856460
,convenience,,,55.8732182,-3.1016501
,newsagent,,,55.9536725,-3.1879644
M. Paget Newsagent,convenience,,,55.9685875,-3.1586569
McColls,convenience,,,55.9681738,-3.1583077
Alpine Bikes,bicycle,,,55.9588055,-3.2074568
Blackhall Cycle Repairs,bicycle,,,55.9573359,-3.2497051
B G Cycles,bicycle,,,55.9549411,-3.1174700
Hermiston Motor Company,car,,,55.9184179,-3.3148233
TK Maxx,clothes,,,55.9579914,-3.1661172
Marks & Spencer Outlet,clothes,,,55.9587242,-3.1654064
